Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
293	278	09:54:15	28	E	00:11:35 	00:53:06 	00:29:20	01:34:01
294	267	09:51:30	36	G	00:09:26 	01:00:28 	00:24:08	01:34:02
295	352	10:12:45	43	H	00:12:18 	00:52:48 	00:28:58	01:34:04
296	223	09:40:30	37	G	00:08:44 	00:56:23 	00:28:58	01:34:05
297	109	09:12:00	15	A	00:07:21 	00:58:46 	00:28:15	01:34:22
298	338	10:09:15	43	H	00:10:59 	00:51:36 	00:31:48	01:34:23
299	265	09:51:00	35	G	00:08:26 	00:54:49 	00:31:13	01:34:28
300	33	08:53:00	44	H	00:06:43 	00:57:30 	00:30:25	01:34:38
301	661	11:30:00	50	J	00:08:38 	00:50:05 	00:35:56	01:34:39
302	430	10:32:15	52	J	00:09:58 	00:53:47 	00:30:55	01:34:40
303	277	09:54:00	40	H	00:09:42 	00:50:11 	00:34:53	01:34:46
304	348	10:11:45	42	H	00:10:26 	00:50:49 	00:33:37	01:34:52
305	294	09:58:15	51	J	00:11:28 	00:52:45 	00:30:47	01:35:00
306	357	10:14:00	42	H	00:09:58 	00:54:56 	00:30:37	01:35:31
307	251	09:47:30	45	I	00:09:22 	00:52:38 	00:33:35	01:35:35
308	448	10:36:45	43	H	00:08:04 	00:54:20 	00:33:28	01:35:52
309	244	09:45:45	46	I	00:09:02 	00:54:09 	00:32:46	01:35:57
310	266	09:51:15	38	G	00:08:32 	00:58:35 	00:28:52	01:35:59
311	204	09:35:45	37	G	00:09:38 	00:56:42 	00:29:40	01:36:00
312	339	10:09:30	35	G	00:11:08 	00:55:52 	00:29:01	01:36:01
313	311	10:02:30	43	H	00:10:57 	00:53:50 	00:31:17	01:36:04
314	221	09:40:00	36	G	00:09:33 	00:55:00	00:31:32	01:36:05
315	332	10:12:00	37	G	00:09:25 	00:55:41	00:31:00	01:36:06
316	408	10:26:45	44	H	00:11:44 	00:55:53	00:28:32	01:36:09
317	320	10:04:45	61	L	00:10:09 	00:50:53	00:35:21	01:36:23
318	386	10:21:15	44	H	00:11:44 	00:52:30	00:32:17	01:36:31
319	214	09:38:15	23	D	00:08:25 	00:53:36	00:34:31	01:36:32
320	180	09:29:45	47	I	00:10:05 	00:55:58	00:30:39	01:36:42
321	305	10:01:00	48	I	00:08:40 	00:53:28	00:34:35	01:36:43
322	374	10:18:15	44	H	00:20:29 	01:00:18	00:16:03	01:36:50
323	409	10:27:00	40	H	00:10:41 	00:56:13	00:30:11	01:37:05
324	336	10:08:45	52	J	00:10:21 	00:54:50	00:32:05	01:37:16
325	157	09:24:00	44	H	00:08:23 	00:52:15	00:36:50	01:37:28
326	428	10:31:45	43	H	00:10:18 	00:54:05	00:33:11	01:37:34
327	213	09:38:00	48	I	00:09:19 	00:53:36	00:34:43	01:37:38
328	341	10:10:00	36	G	00:10:11 	00:55:19	00:32:10	01:37:40
329	227	09:41:30	14	A	00:07:23 	00:59:28	00:31:13	01:38:04
