"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA";2004;5;1050;20,88;39,92
"BRA";2004;5;8400;10,61;519,9
"BRA";2004;6;1050;20,41;40,22
"BRA";2004;6;NA;NA;NA
"BRA";2004;7;6450;59,89;365,21
"BRA";2004;7;NA;NA;NA
"BRA";2004;8;44200;85,05;399,27
"BRA";2004;9;18200;168,94;89,87
"BRA";2004;9;26300;64,89;79,31
"BRA";2004;10;18900;179,93;13,96
"BRA";2004;11;NA;NA;NA
"BRA";2004;11;15950;289,86;15,97
"BRA";2004;12;11200;34,93;14,89
"BRA";2004;12;NA;NA;NA
"BRA-ESP";2004;2;NA;NA;NA
"BRA-ESP";2004;4;2000;979,93;31,11
"BRA-ESP";2004;5;32600;8124,73;140,55
"BRA-ESP";2004;5;20680;3613,8;111,24
"BRA-ESP";2004;2;18360;3778,01;100,14
"BRA-ESP";2004;4;864;49,65;380,41
"BRA-ESP";2004;8;23434;1370,65;169,44
"BRA-ESP";2004;8;NA;NA;NA
"BRA-ESP";2004;9;NA;NA;NA
"BRA-ESP";2004;9;21509;901,49;228,58
"BRA-ESP";2004;9;1992;165,08;125,13
"BRA-ESP";2004;9;NA;NA;NA
"BRA-ESP";2004;10;5410;85,32;60,8
"BRA-ESP";2004;10;32486;1989,13;1061,17
"BRA-ESP";2004;10;NA;NA;NA
"BRA-ESP";2004;10;4035;230,91;156,39
"BRA-ESP";2004;10;20540;425,25;7155,8
"BRA-ESP";2004;11;10734;759,68;249,73
"BRA-ESP";2004;11;39915;683,85;589,53
"BRA-ESP";2004;11;2850;40,35;1335,7
"BRA-ESP";2004;11;12870;610,42;1367,8
"BRA-ESP";2004;11;2140;61,65;330,87
"BRA-ESP";2004;11;32445;3051,78;8251,86
"BRA-ESP";2004;11;5170;364,11;425,8
"BRA-ESP";2004;12;3290;129,06;130,64
"BRA-ESP";2004;12;43416;2500;152,43
"BRA-ESP";2004;12;3210;139,34;319,44
"BRA-ESP";2004;12;3210;237,5;750,84
"BRA-ESP";1998;1;1000;200,72;199,22
"BRA-ESP";1998;1;11430;199,25;901,11
"BRA-ESP";1998;2;18900;1299,52;2200,25
"BRA-ESP";1998;2;15800;2000,44;1801,65
"BRA-ESP";1998;2;1100;99,32;198,54
"BRA-ESP";1998;3;8300;14198,3;99,95
"BRA-ESP";1998;3;10200;12301,27;99,47
"BRA-ESP";1998;3;1000;200,36;199,8
"BRA-ESP";1998;3;1100;599,42;199,37
"BRA-ESP";1998;3;1100;98,01;99,17
"BRA-ESP";1998;3;6000;201,9;100,58
"BRA-ESP";1998;3;NA;NA;NA
"BRA-ESP";1998;4;16900;26800,21;2801,48
"BRA-ESP";1998;4;1900;4700,85;698,81
"BRA-ESP";1998;5;NA;NA;NA
"BRA-ESP";1998;6;30500;1799,3;700,53
"BRA-ESP";1998;6;34700;999,65;600,59
"BRA-ESP";1998;7;36200;1898,27;899,7
"BRA-ESP";1998;7;117600;2399,26;400,08
"BRA-ESP";1998;7;28900;2900,62;1900,96
"BRA-ESP";1998;8;6100;499,71;98,54
"BRA-ESP";1998;8;4500;99,79;199,22
"BRA-ESP";1998;8;12400;99,89;100,32
"BRA-ESP";1998;10;950;98,14;199,56
"BRA-ESP";1998;10;NA;NA;NA
"BRA-ESP";1998;10;NA;NA;NA
"BRA-ESP";1998;10;1000;399,79;100,07
"BRA-ESP";1998;10;6820;1799,56;298,49
"BRA-ESP";1998;10;NA;NA;NA
"BRA-ESP";1998;10;22250;1901,46;399,68
"BRA-ESP";1998;10;1920;199,42;199,9
"BRA-ESP";1998;11;4400;199,22;98,82
"BRA-ESP";1998;11;2850;98,48;400,5
"BRA-ESP";1998;11;2700;199,19;398,96
"BRA-ESP";1998;11;NA;NA;NA
"BRA-ESP";1998;11;3600;300,41;200,38
"BRA-ESP";1998;11;900;199,14;99,22
"BRA-ESP";1998;11;6500;400,3;500,58
"BRA-ESP";1998;11;900;199,85;298,68
"BRA-ESP";1998;12;2200;198,57;1197,19
"BRA-ESP";1998;12;NA;NA;NA
"BRA-ESP";1998;12;NA;NA;NA
"BRA-ESP";1998;12;8000;300,9;1899,71
"BRA-ESP";1998;12;1800;202,01;500,5
"BRA-ESP";1999;1;35900;3847,65;31008,84
"BRA-ESP";1999;1;46250;3269,85;8304,87
"BRA-ESP";1999;2;11800;12869,93;38,06
"BRA-ESP";1999;2;3500;3424,31;551,18
"BRA-ESP";1999;2;34500;2007,65;4196,86
"BRA-ESP";1999;2;28700;2017,16;5056,07
"BRA-ESP";1999;3;NA;NA;NA
"BRA-ESP";1999;3;1200;317,17;569,97
"BRA-ESP";1999;4;13400;1948,08;38,48
"BRA-ESP";1999;5;5500;626,98;20,79
"BRA-ESP";1999;5;NA;NA;NA
"BRA-ESP";1999;5;8640;3080,13;54,34
"BRA-ESP";1999;5;14040;10882,36;178,59
"BRA-ESP";1999;6;8800;45,68;29,7
"BRA-ESP";1999;6;13200;626,66;315,15
"BRA-ESP";1999;6;30000;699,28;344,6
"BRA-ESP";1999;6;NA;NA;NA
"BRA-ESP";1999;6;NA;NA;NA
"BRA-ESP";1999;7;6000;321,11;269,98
"BRA-ESP";1999;7;2400;927,23;316,07
"BRA-ESP";1999;7;32900;575,04;382,4
"BRA-ESP";1999;7;41520;926,05;1059,55
"BRA-ESP";1999;7;2280;213,52;59,32
"BRA-ESP";1999;7;1080;242,44;58,78
"BRA-ESP";1999;8;7000;2198,3;1891,55
"BRA-ESP";1999;8;24900;9176,02;2392,58
"BRA-ESP";1999;8;10100;373,34;220,32
"BRA-ESP";1999;8;1300;136,16;72,85
"BRA-ESP";1999;8;6610;554,34;350,18
"BRA-ESP";1999;8;2400;31,93;44,12
"BRA-ESP";1999;8;24600;2875,7;920,94
"BRA-ESP";1999;8;4800;299,56;135,17
