Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
MG,3152600,Pouso Alto,94.212,98.624,18.626,33.743,4.182,1902,
MG,3152709,Prados,90.208,95.879,11.722,28.401,3.167,2106,
MG,3152808,Prata,92.326,97.358,31.056,36.181,3.812,6819,
MG,3152907,Pratápolis,99.289,99.849,26.063,38.507,3.545,2838,
MG,3153004,Pratinha,92.053,91.327,19.152,46.206,1.732,918,
MG,3153103,Presidente Bernardes,85.499,83.917,7.514,16.796,1.227,1422,
MG,3153202,Presidente Juscelino,65.488,88.657,7.791,13.635,0.39,1069,
MG,3153301,Presidente Kubitschek,72.436,80.83,6.178,13.239,0.949,625,
MG,3153400,Presidente Olegário,86.9,88.049,19.427,31.902,1.835,5198,
MG,3153509,Alto Jequitibá,94.473,98.664,13.986,37,2.636,2379,
MG,3153608,Prudente de Morais,96.423,99.197,37.594,26.282,3.224,2019,
MG,3153707,Quartel Geral,92.475,99.145,13.315,26.337,1.095,927,
MG,3153806,Queluzito,94.6,96.948,12.73,39.689,1.782,508,
MG,3153905,Raposos,95.13,99.384,37.678,29.974,7.308,3526,
MG,3154002,Raul Soares,90.239,92.588,13.767,18.515,3.555,6721,
MG,3154101,Recreio,94.525,97.058,22.689,23.948,2.659,3067,
MG,3154150,Reduto,96.235,97.739,7.882,24.651,1.943,1530,
MG,3154200,Resende Costa,95.889,94.207,18.081,31.266,4.749,2893,
